2026-08-28T21:15:14.987288+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.3ms) | 1.1.1.1 (11.0ms) | 9.9.9.9 (9.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:17.041770+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.4ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:20.085943+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.2ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:22.137241+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.3ms) | 1.1.1.1 (7.6ms) | 9.9.9.9 (9.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:25.202045+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.9ms) | 1.1.1.1 (12.6ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:28.261118+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.2ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (13.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:31.322344+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (16.6ms) | 1.1.1.1 (13.3ms) | 9.9.9.9 (13.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:34.383094+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.2ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (12.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:37.442093+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.0ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:40.499625+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.7ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:43.607452+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.6ms) | 1.1.1.1 (8.4ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:46.648286+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.4ms) | 1.1.1.1 (8.4ms) | 9.9.9.9 (9.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:49.705357+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.0ms) | 1.1.1.1 (7.8ms) | 9.9.9.9 (9.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.1ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:52.760510+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.8ms) | 1.1.1.1 (10.0ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:54.814115+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.6ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (10.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.3ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:57.872139+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.2ms) | 1.1.1.1 (11.4ms) | 9.9.9.9 (10.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.3ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:59.929102+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.0ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (10.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.3ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:16:02.993891+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (21.5ms) | 1.1.1.1 (18.8ms) | 9.9.9.9 (16.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.3ms | +17.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:16:05.051959+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.2ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.4ms | +17.1ms | +0.3ms | +0.0% | WARN
