2026-08-28T21:33:49.554283+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.9ms) | 1.1.1.1 (59.7ms) | 9.9.9.9 (59.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:51.652112+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.3ms) | 1.1.1.1 (59.9ms) | 9.9.9.9 (59.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:53.748468+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.1ms) | 1.1.1.1 (58.8ms) | 9.9.9.9 (57.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:55.846310+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (9.1ms) | 1.1.1.1 (13.3ms) | 9.9.9.9 (12.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:57.943505+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.2ms) | 1.1.1.1 (62.2ms) | 9.9.9.9 (62.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:00.039064+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.3ms) | 1.1.1.1 (57.7ms) | 9.9.9.9 (55.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:02.137522+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.5ms) | 1.1.1.1 (59.1ms) | 9.9.9.9 (56.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:04.234047+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (75.8ms) | 1.1.1.1 (76.2ms) | 9.9.9.9 (77.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:06.342144+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (73.8ms) | 1.1.1.1 (81.5ms) | 9.9.9.9 (81.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:08.429922+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (50.4ms) | 1.1.1.1 (49.9ms) | 9.9.9.9 (50.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:10.525944+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.6ms) | 1.1.1.1 (58.4ms) | 9.9.9.9 (58.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:12.623657+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.3ms) | 1.1.1.1 (59.3ms) | 9.9.9.9 (59.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:14.720735+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (64.1ms) | 1.1.1.1 (64.5ms) | 9.9.9.9 (64.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:16.816098+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (11.3ms) | 1.1.1.1 (11.7ms) | 9.9.9.9 (11.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:18.915290+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.9ms) | 1.1.1.1 (57.6ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:21.012425+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.0ms) | 1.1.1.1 (54.9ms) | 9.9.9.9 (53.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:23.110192+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.4ms) | 1.1.1.1 (58.8ms) | 9.9.9.9 (59.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:25.206514+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.2ms) | 1.1.1.1 (60.4ms) | 9.9.9.9 (58.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:27.303149+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.1ms) | 1.1.1.1 (56.1ms) | 9.9.9.9 (55.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:29.406330+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.4ms) | 1.1.1.1 (66.2ms) | 9.9.9.9 (64.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:31.497000+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.0ms) | 1.1.1.1 (55.4ms) | 9.9.9.9 (55.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:33.594189+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.0ms) | 1.1.1.1 (59.1ms) | 9.9.9.9 (57.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:35.692036+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (66.1ms) | 1.1.1.1 (67.6ms) | 9.9.9.9 (67.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:37.788459+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (18.1ms) | 1.1.1.1 (18.6ms) | 9.9.9.9 (19.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
